r                        V(r)
2.547547547547547531e+00 0.000000000000000000e+00
2.552552552552552534e+00 0.000000000000000000e+00
2.557557557557557537e+00 0.000000000000000000e+00
2.562562562562562540e+00 0.000000000000000000e+00
2.567567567567567544e+00 0.000000000000000000e+00
2.572572572572572547e+00 0.000000000000000000e+00
2.577577577577577550e+00 0.000000000000000000e+00
2.582582582582582553e+00 0.000000000000000000e+00
2.587587587587587556e+00 0.000000000000000000e+00
2.592592592592592560e+00 0.000000000000000000e+00
2.597597597597597563e+00 0.000000000000000000e+00
2.602602602602602566e+00 0.000000000000000000e+00
2.607607607607607569e+00 0.000000000000000000e+00
2.612612612612612573e+00 0.000000000000000000e+00
2.617617617617617576e+00 0.000000000000000000e+00
2.622622622622622579e+00 0.000000000000000000e+00
2.627627627627627582e+00 0.000000000000000000e+00
2.632632632632632586e+00 0.000000000000000000e+00
2.637637637637637589e+00 0.000000000000000000e+00
2.642642642642642592e+00 0.000000000000000000e+00
2.647647647647647595e+00 0.000000000000000000e+00
2.652652652652652598e+00 0.000000000000000000e+00
2.657657657657657602e+00 0.000000000000000000e+00
2.662662662662662605e+00 0.000000000000000000e+00
2.667667667667667608e+00 0.000000000000000000e+00
2.672672672672672611e+00 0.000000000000000000e+00
2.677677677677677615e+00 0.000000000000000000e+00
2.682682682682682618e+00 0.000000000000000000e+00
2.687687687687687621e+00 0.000000000000000000e+00
2.692692692692692624e+00 0.000000000000000000e+00
2.697697697697697627e+00 0.000000000000000000e+00
2.702702702702702631e+00 0.000000000000000000e+00
2.707707707707707634e+00 0.000000000000000000e+00
2.712712712712712637e+00 0.000000000000000000e+00
2.717717717717717640e+00 0.000000000000000000e+00
2.722722722722722644e+00 0.000000000000000000e+00
2.727727727727727647e+00 0.000000000000000000e+00
2.732732732732732650e+00 0.000000000000000000e+00
2.737737737737737653e+00 0.000000000000000000e+00
2.742742742742742657e+00 0.000000000000000000e+00
2.747747747747747660e+00 0.000000000000000000e+00
2.752752752752752663e+00 0.000000000000000000e+00
2.757757757757757666e+00 0.000000000000000000e+00
2.762762762762762669e+00 0.000000000000000000e+00
2.767767767767767673e+00 0.000000000000000000e+00
2.772772772772772676e+00 0.000000000000000000e+00
2.777777777777777679e+00 0.000000000000000000e+00
2.782782782782782682e+00 0.000000000000000000e+00
2.787787787787787686e+00 0.000000000000000000e+00
2.792792792792792689e+00 0.000000000000000000e+00
2.797797797797797692e+00 0.000000000000000000e+00
2.802802802802802695e+00 0.000000000000000000e+00
2.807807807807807698e+00 0.000000000000000000e+00
2.812812812812812702e+00 0.000000000000000000e+00
2.817817817817817705e+00 0.000000000000000000e+00
2.822822822822822708e+00 0.000000000000000000e+00
2.827827827827827711e+00 0.000000000000000000e+00
2.832832832832832715e+00 0.000000000000000000e+00
2.837837837837837718e+00 0.000000000000000000e+00
2.842842842842842721e+00 0.000000000000000000e+00
2.847847847847847724e+00 0.000000000000000000e+00
2.852852852852852727e+00 0.000000000000000000e+00
2.857857857857857731e+00 0.000000000000000000e+00
2.862862862862862734e+00 0.000000000000000000e+00
